Tenor,Expiry,Fwd,Strike,Vol
2,0.25,0.010763833,-150,0
2,0.5,0.011099189,-150,0
2,0.75,0.011602429,-150,0
2,1,0.012193564,-150,0
2,2,0.016195984,-150,0
2,5,0.028436364,-150,0.404
2,10,0.033873471,-150,0.3026
5,0.25,0.01601749,-150,1.187
5,0.5,0.01680246,-150,0.9568
5,0.75,0.017681947,-150,0.8325
5,1,0.018623226,-150,0.7242
5,2,0.022384186,-150,0.5704
5,5,0.030538725,-150,0.372
5,10,0.033460207,-150,0.3108
10,0.25,0.02299003,-150,0.6333
10,0.5,0.023535063,-150,0.6149
10,0.75,0.02411912,-150,0.586
10,1,0.02472472,-150,0.5544
10,2,0.027193323,-150,0.4725
10,5,0.031883549,-150,0.3598
10,10,0.031009202,-150,0.3363
15,0.25,0.026332222,-150,0.5802
15,0.5,0.026549479,-150,0.5492
15,0.75,0.026784261,-150,0.5122
15,1,0.027026331,-150,0.4938
15,2,0.027948737,-150,0.4582
15,5,0.029244346,-150,0.3815
15,10,0.027080947,-150,0.3545
30,0.25,0.025244793,-150,0.628
30,0.5,0.025399329,-150,0.5954
30,0.75,0.02556703,-150,0.5678
30,1,0.025740162,-150,0.5536
30,2,0.026399841,-150,0.5056
30,5,0.027290758,-150,0.4261
30,10,0.025954115,-150,0.3664
3.75,2.2,0.03,-150,0.42
2,0.25,0.010763833,-100,1.047
2,0.5,0.011099189,-100,0.9647
2,0.75,0.011602429,-100,0.8253
2,1,0.012193564,-100,0.6796
2,2,0.016195984,-100,0.9119
2,5,0.028436364,-100,0.3541
2,10,0.033873471,-100,0.2725
5,0.25,0.01601749,-100,0.6027
5,0.5,0.01680246,-100,0.58
5,0.75,0.017681947,-100,0.5562
5,1,0.018623226,-100,0.524
5,2,0.022384186,-100,0.4686
5,5,0.030538725,-100,0.3304
5,10,0.033460207,-100,0.2749
10,0.25,0.02299003,-100,0.4909
10,0.5,0.023535063,-100,0.4851
10,0.75,0.02411912,-100,0.4693
10,1,0.02472472,-100,0.4527
10,2,0.027193323,-100,0.4022
10,5,0.031883549,-100,0.3166
10,10,0.031009202,-100,0.2958
15,0.25,0.026332222,-100,0.4622
15,0.5,0.026549479,-100,0.4466
15,0.75,0.026784261,-100,0.4223
15,1,0.027026331,-100,0.4128
15,2,0.027948737,-100,0.3897
15,5,0.029244346,-100,0.3285
15,10,0.027080947,-100,0.3059
30,0.25,0.025244793,-100,0.4963
30,0.5,0.025399329,-100,0.4782
30,0.75,0.02556703,-100,0.4617
30,1,0.025740162,-100,0.4552
30,2,0.026399841,-100,0.4248
30,5,0.027290758,-100,0.3623
30,10,0.025954115,-100,0.3137
3.75,2.2,0.03,-100,0.3958
2,0.25,0.010763833,-50,0.4812
2,0.5,0.011099189,-50,0.5079
2,0.75,0.011602429,-50,0.5033
2,1,0.012193564,-50,0.4788
2,2,0.016195984,-50,0.5417
2,5,0.028436364,-50,0.3218
2,10,0.033873471,-50,0.251
5,0.25,0.01601749,-50,0.4655
5,0.5,0.01680246,-50,0.4661
5,0.75,0.017681947,-50,0.4578
5,1,0.018623226,-50,0.4446
5,2,0.022384186,-50,0.4119
5,5,0.030538725,-50,0.3016
5,10,0.033460207,-50,0.2488
10,0.25,0.02299003,-50,0.401
